species,Bottom,Mid Water,Near Bottom,Near Surface,Surface
Ruvettus pretiosus,,x,x,,
Gerreidae,,,,,
Diapterus auratus,x,,,,
Diapterus rhombeus,x,,,,
Eucinostomus argenteus,x,,,,
Eucinostomus gula,x,,,,
Eucinostomus harengulus,x,,,,
Eucinostomus havana,x,,,,
Eucinostomus jonesii,x,,,,
Eucinostomus lefroyi,x,,,,
Eucinostomus melanopterus,x,,,,
Eugerres awlae,x,,,,
Eugerres brasilianus,x,,,,
Eugerres plumieri,x,,,,
Gerres cinereus,x,,,,
Ginglymostomatidae,,,,,
Ginglymostoma cirratum,x,,,,
Gobiesocidae,,,,,
Acyrtops amplicirrus,x,,,,
Acyrtops beryllinus,x,,,,
Acyrtus artius,x,,,,
Acyrtus lanthanum,x,,,,
Acyrtus rubiginosus,x,,,,
Arcos nudus,x,,,,
Derilissus altifrons,x,,,,
Derilissus kremnobates,x,,,,
Derilissus lombardii,x,,,,
Derilissus nanus,x,,,,
Derilissus vittiger,x,,,,
Gobiesox barbatulus,x,,,,
Gobiesox cephalus,x,,,,
Gobiesox lucayanus,x,,,,
Gobiesox nigripinnis,x,,,,
Gobiesox punctulatus,x,,,,
Gobiesox strumosus,x,,,,
Gymnoscyphus ascitus,x,,,,
Tomicodon briggsi,x,,,,
Tomicodon clarkei,x,,,,
Tomicodon cryptus,x,,,,
Tomicodon fasciatus,x,,,,
Tomicodon lavettsmithi,x,,,,
Tomicodon leurodiscus,x,,,,
Tomicodon reitzae,x,,,,
Tomicodon rhabdotus,x,,,,
Tomicodon rupestris,x,,,,
Gobiidae,,,,,
Akko dionaea,x,,,,
Antilligobius nikkiae,,,x,,
Awaous banana,x,,,,
Awaous flavus,x,,,,
Barbulifer antennatus,x,,,,
Barbulifer ceuthoecus,x,,,,
Bathygobius antilliensis,x,,,,
Bathygobius curacao,x,,,,
Bathygobius geminatus,x,,,,
Bathygobius lacertus,x,,,,
Bathygobius mystacium,x,,,,
Bathygobius soporator,x,,,,
Bollmannia boqueronensis,x,,,,
Bollmannia communis,x,,,,
